,name,office_lst,office_str
90,Weblocal,"[34.052187, -118.243425]","34.052187,-118.243425"
91,BakeSpace,"[34.098028, -118.353624]","34.098028,-118.353624"
92,Geodelic Systems,"[34.005914, -118.488129]","34.005914,-118.488129"
93,eVoice,"[34.101555, -118.340696]","34.101555,-118.340696"
94,PeopleJar,"[34.1030032, -118.4104684]","34.1030032,-118.4104684"
95,Hollywood Interactive Group,"[34.052187, -118.243425]","34.052187,-118.243425"
96,Ratchet,"[33.810534, -118.109206]","33.810534,-118.109206"
97,NOTCOT,"[34.052187, -118.243425]","34.052187,-118.243425"
98,Total Immersion,"[34.062164, -118.358787]","34.062164,-118.358787"
99,FanPrice,"[38.233786, -122.636071]","38.233786,-122.636071"
100,SportsGenie,"[34.0522, -118.2429]","34.0522,-118.2429"
101,Creative Kingdom Animation Studios Film,"[34.0541081, -118.2595569]","34.0541081,-118.2595569"
102,Sceneclips,"[34.05438, -118.26728]","34.05438,-118.26728"
103,Mybandstock,"[42.2802675, -83.7420579]","42.2802675,-83.7420579"
104,Xtreme Widgets,"[33.988687, -118.439532]","33.988687,-118.439532"
105,TVGla,"[33.988687, -118.439532]","33.988687,-118.439532"
106,MyFreeImplants,"[34.087825, -118.379493]","34.087825,-118.379493"
107,booksRhere,"[34.024817, -118.295117]","34.024817,-118.295117"
108,The DigiTrust Group,"[33.946126, -118.382385]","33.946126,-118.382385"
109,kidthing,"[34.045845, -118.237811]","34.045845,-118.237811"
110,GetBack,"[34.0342337, -118.4536137]","34.0342337,-118.4536137"
111,Vitality,"[34.0485243, -118.4623627]","34.0485243,-118.4623627"
112,PlayerAuctions,"[34.052187, -118.243425]","34.052187,-118.243425"
113,A Unique Presentation,"[34.025386, -118.401729]","34.025386,-118.401729"
114,MovieFlix,"[34.070146, -118.365526]","34.070146,-118.365526"
115,Wild Brain,"[34.064286, -118.372638]","34.064286,-118.372638"
116,Saltlick Labs,"[34.052187, -118.243425]","34.052187,-118.243425"
117,Launch 10,"[34.054356, -118.422696]","34.054356,-118.422696"
118,ConstructionDeal,"[34.052187, -118.243425]","34.052187,-118.243425"
119,PlaceVine,"[34.052187, -118.243425]","34.052187,-118.243425"
120,Txtms,"[34.052187, -118.243425]","34.052187,-118.243425"
121,CrownPeak,"[34.0240159, -118.3767176]","34.0240159,-118.3767176"
122,Awareness Technologies,"[33.9812355, -118.44097]","33.9812355,-118.44097"
123,Fonality,"[33.9874429, -118.3846632]","33.9874429,-118.3846632"
124,GoGo Lingo,"[34.052187, -118.243425]","34.052187,-118.243425"
125,Creative Artists Agency,"[34.0586832, -118.4158174]","34.0586832,-118.4158174"
126,Table For Six,"[34.058324, -118.441888]","34.058324,-118.441888"
127,National Lampoon,"[34.0975446, -118.3685931]","34.0975446,-118.3685931"
128,Sennari,"[33.9782287, -118.4303427]","33.9782287,-118.4303427"
129,Sennari,"[33.9782287, -118.4303427]","33.9782287,-118.4303427"
130,Broken Knuckles Clothing,"[34.0760614, -118.3729534]","34.0760614,-118.3729534"
131,LeadPoint,"[34.054212, -118.464454]","34.054212,-118.464454"
132,Univision,"[33.9778907, -118.3925179]","33.9778907,-118.3925179"
133,ReferQuest,"[34.031222, -118.420346]","34.031222,-118.420346"
134,Trustworthy,"[34.049246, -118.395346]","34.049246,-118.395346"
135,KlickSports,"[34.0431973, -118.445584]","34.0431973,-118.445584"
136,Boom Studios,"[34.060523, -118.367703]","34.060523,-118.367703"
137,Link Gateway,"[34.052187, -118.243425]","34.052187,-118.243425"
138,TechForward,"[34.146503, -118.613385]","34.146503,-118.613385"
139,Mobile Messenger,"[33.979956, -118.393979]","33.979956,-118.393979"
140,ABCO TECHNOLOGY,"[33.978825, -118.394889]","33.978825,-118.394889"
141,eModeration,"[34.1538216, -118.4662511]","34.1538216,-118.4662511"
142,Blip'd,"[34.0760614, -118.3729534]","34.0760614,-118.3729534"
143,Jobspring Partners,"[34.057346, -118.447078]","34.057346,-118.447078"
144,Workbridge Associates,"[34.057346, -118.447078]","34.057346,-118.447078"
145,Ranker,"[34.1012181, -118.325739]","34.1012181,-118.325739"
146,Epsilon Concepts,"[34.051508, -118.262233]","34.051508,-118.262233"
147,Silvatar Media,"[34.1036353, -118.293316]","34.1036353,-118.293316"
148,Global Digital Media Xchange,"[33.943108, -118.374904]","33.943108,-118.374904"
149,Sensis,"[34.0490571, -118.2593181]","34.0490571,-118.2593181"
150,Huge,"[34.167304, -118.373614]","34.167304,-118.373614"
151,Yoostar,"[34.052187, -118.243425]","34.052187,-118.243425"
152,WebPurify,"[34.052187, -118.243425]","34.052187,-118.243425"
153,eblizz,"[34.0163012, -118.4920896]","34.0163012,-118.4920896"
154,SchoolRack,"[34.0386656, -118.4221519]","34.0386656,-118.4221519"
155,Cocodot,"[34.104692, -118.375698]","34.104692,-118.375698"
156,Moviepilot,"[34.0522342, -118.2436849]","34.0522342,-118.2436849"
157,High Density Networks,"[34.058101, -118.235338]","34.058101,-118.235338"
158,ITTAGS,"[34.052187, -118.243425]","34.052187,-118.243425"
159,Iteego,"[34.052187, -118.243425]","34.052187,-118.243425"
160,Global Fitness Media,"[34.054318, -118.462876]","34.054318,-118.462876"
161,AECOM Technology,"[34.0507962, -118.2568615]","34.0507962,-118.2568615"
162,Culture Jam,"[34.0137151, -118.4660597]","34.0137151,-118.4660597"
163,Pipit Interactive,"[34.045499, -118.47036]","34.045499,-118.47036"
164,Top Rated Website Designers,"[33.9933257, -118.3987842]","33.9933257,-118.3987842"
165,IVR Technologies,"[34.050066, -118.253161]","34.050066,-118.253161"
